N;N-Inaorig;Proband;Age;Sprache;Expression;Group;TypeDet;Type;PronNP;Character;Function
LL1688;NIO1660;MIMALI;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1689;NIO1661;MIMALI;Children;Mon;der Hund Bello;0;defNP+EN;Name;NP;Main;Reintroduction
LL1690;NIO1662;MIMALI;Children;Mon;sie;0;PP;Pron;Pron;Secondary;Maintenance
LL1691;NIO1663;MIMALI;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1692;NIO1664;MIMALI;Children;Mon;Tim und Mex;0;EN | EN;Name;NP;Main;Reintroduction
LL1693;NIO1665;MOCHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1694;NIO1666;MOCHAR;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1695;NIO1667;MOCHAR;Children;Mon;Bello;0;EN;Name;NP;Main;Maintenance
LL1696;NIO1668;MOCHAR;Children;Mon;Max;0;EN;Name;NP;Main;Reintroduction
LL1697;NIO1669;MOCHAR;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1698;NIO1670;MOCHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1699;NIO1671;MOCHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1700;NIO1672;MOCHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1701;NIO1673;MOCHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1702;NIO1674;MOCHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1703;NIO1675;MOCHAR;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1704;NIO1676;NABEER;Children;Mon;Max und Tim;0;EN | EN;Name;NP;Main;Maintenance
LL1705;NIO1677;NABEER;Children;Mon;Max und Tim;0;EN | EN;Name;NP;Main;Maintenance
LL1706;NIO1678;NABEER;Children;Mon;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1707;NIO1679;NABEER;Children;Mon;Die beiden;0;defNP;defNP;NP;Main;Maintenance
LL1708;NIO1680;NABEER;Children;Mon;Max;0;EN;Name;NP;Main;Reintroduction
LL1709;NIO1681;NABEER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1710;NIO1682;NABEER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1711;NIO1683;NABEER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1712;NIO1684;NAJAER;Children;Mon;Sie;0;PP;Pron;Pron;Main;Reintroduction
LL1713;NIO1685;OLJAER;Children;Meh;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1714;NIO1686;OLJAER;Children;Meh;Tim und Max;0;EN | EN;Name;NP;Main;Reintroduction
LL1715;NIO1687;OLJAER;Children;Meh;Bello;0;EN;Name;NP;Main;Reintroduction
LL1716;NIO1688;OLJAER;Children;Meh;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1717;NIO1689;OLJAER;Children;Meh;Tim;0;EN;Name;NP;Main;Reintroduction
LL1718;NIO1690;OLJAER;Children;Meh;Max;0;EN;Name;NP;Main;Reintroduction
LL1719;NIO1691;OLJAER;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1720;NIO1692;OLJAER;Children;Meh;Max;0;EN;Name;NP;Main;Reintroduction
LL1721;NIO1693;OLJAER;Children;Meh;Sie;0;PP;Pron;Pron;Main;Reintroduction
LL1722;NIO1694;OLJAER;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1723;NIO1695;OLJAER;Children;Meh;Sie;0;PP;Pron;Pron;Secondary;Maintenance
LL1724;GL63;OLJAER;Children;Meh;Max und Tim;0;EN | EN;Name;NP;Main;Reintroduction
LL1725;NIO1696;OLJAER;Children;Meh;Bello;0;EN;Name;NP;Main;Reintroduction
LL1726;NIO1697;OLJAER;Children;Meh;sie;0;PP;Pron;Pron;Secondary;Reintroduction
LL1727;NIO1698;OLJAER;Children;Meh;Bello;0;EN;Name;NP;Main;Maintenance
LL1728;NIO1699;OLJAER;Children;Meh;Max;0;EN ;Name;NP;Main;Reintroduction
LL1729;GL64;OLJAER;Children;Meh;Tim;0;EN;Name;NP;Main;Reintroduction
LL1730;NIO1700;OLJAER;Children;Meh;Sie;0;PP;Pron;Pron;Main;Reintroduction
LL1731;NIO1701;OLWAST;Children;Meh;Tim;0;EN;Name;NP;Main;Maintenance
LL1732;NIO1702;OLWAST;Children;Meh;mit seinem Hund Bello und seinem Freund Max;0;defNP+EN | defNP+EN;Name;NP;Main;Maintenance
LL1733;NIO1703;OLWAST;Children;Meh;sie;0;PP;Pron;Pron;Main;Maintenance
LL1734;NIO1704;OLWAST;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1735;NIO1705;OLWAST;Children;Meh;Tim und Max;0;EN | EN ;Name;NP;Main;Reintroduction
LL1736;NIO1706;OLWAST;Children;Meh;Bello;0;EN;Name;NP;Main;Reintroduction
LL1737;NIO1707;OLWAST;Children;Meh;sie;0;PP;Pron;Pron;Secondary;Reintroduction
LL1738;NIO1708;RORAAR;Children;Meh;Max;0;EN;Name;NP;Main;Maintenance
LL1739;NIO1709;RORAAR;Children;Meh;Beide;0;IP;Pron;Pron;Main;Reintroduction
LL1740;NIO1710;RORAAR;Children;Meh;sie;0;PP;Pron;Pron;Main;Maintenance
LL1741;NIO1711;RORAAR;Children;Meh;Tim;0;EN;Name;NP;Main;Reintroduction
LL1742;NIO1712;RORAAR;Children;Meh;Tim;0;EN;Name;NP;Main;Reintroduction
LL1743;NIO1713;RORAAR;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1744;NIO1714;RORAAR;Children;Meh;Max;0;EN;Name;NP;Main;Reintroduction
LL1745;NIO1715;RORAAR;Children;Meh;Max;0;EN;Name;NP;Main;Reintroduction
LL1746;NIO1716;RORAAR;Children;Meh;Max und Tim;0;EN | EN;Name;NP;Main;Reintroduction
LL1747;NIO1717;RORAAR;Children;Meh;bello;0;EN;Name;NP;Main;Reintroduction
LL1748;NIO1718;RORAAR;Children;Meh;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1749;;RORAAR;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1750;NIO1719;SAMAER;Children;Mon;Tim und sein Freund Max;0;EN | defNP+EN;Name;NP;Main;Maintenance
LL1751;NIO1720;SAMAER;Children;Mon;Sein Hund Bello;0;defNP+EN;Name;NP;Main;Reintroduction
LL1752;NIO1721;SAMAER;Children;Mon;ihnen;0;PP;Pron;Pron;Main;Maintenance
LL1753;NIO1722;SAMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1754;NIO1723;SAMAER;Children;Mon;der eine;0;defNP;defNP;NP;Secondary;Reintroduction
LL1755;NIO1724;SAMAER;Children;Mon;Der zweite;0;defNP;defNP;NP;Secondary;Reintroduction
LL1756;NIO1725;SAMAER;Children;Mon;er;0;PP;Pron;Pron;Secondary;Maintenance
LL1757;NIO1726;SAMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1758;NIO1727;SAMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1759;NIO1728;SAMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1760;NIO1729;SAMAER;Children;Mon;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1761;NIO1730;SAMAER;Children;Mon;Max;0;EN;Name;NP;Main;Reintroduction
LL1762;GL65;SAMAER;Children;Mon;Tim;0;EN;Name;NP;Main;Reintroduction
LL1763;NIO1731;SAMAER;Children;Mon;die zwei Monster;0;defNP;defNP;NP;Secondary;Reintroduction
LL1764;NIO1732;SAMAER;Children;Mon;sie;0;PP;Pron;Pron;Secondary;Maintenance
LL1765;GL66;SAMAER;Children;Mon;Tim;0;EN;Name;NP;Main;Reintroduction
LL1766;NIO1733;SAMAER;Children;Mon;das Monsta;0;defNP;defNP;NP;Secondary;Reintroduction
LL1767;NIO1734;SAMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1768;NIO1735;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1769;NIO1736;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1770;NIO1737;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1771;NIO1738;SIANER;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1772;NIO1739;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1773;NIO1740;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1774;NIO1741;SIANER;Children;Mon;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1775;NIO1742;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1776;NIO1743;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1777;NIO1744;SIANER;Children;Mon;den Troll und den Oga;0;defNP | defNP;defNP;NP;Secondary;Maintenance
LL1778;NIO1745;SIANER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1779;NIO1746;SIANER;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1780;NIO1747;SIANER;Children;Mon;der Hund;0;defNP;defNP;NP;Main;Reintroduction
LL1781;NIO1748;SIANER;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1782;NIO1749;SIANER;Children;Mon;die beiden;0;defNP;defNP;NP;Secondary;Reintroduction
LL1783;NIO1750;SOULAR;Children;Mon;Tim, Max und Bello;0;EN | EN | EN;Name;NP;Main;Maintenance
LL1784;NIO1751;SOULAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1785;NIO1752;SOULAR;Children;Mon;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1786;NIO1753;SOULAR;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1787;NIO1754;SOULAR;Children;Mon;[von] den Monstern;0;defNP;defNP;NP;Secondary;Reintroduction
LL1788;NIO1755;SOULAR;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1789;NIO1756;SOULAR;Children;Mon;Die Monster;0;defNP;defNP;NP;Secondary;Reintroduction
LL1790;NIO1757;SOULAR;Children;Mon;Tim und Max;0;EN | EN;Name;NP;Main;Reintroduction
LL1791;NIO1758;SOULAR;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1792;NIO1759;SOULAR;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1793;NIO1760;SOULAR;Children;Mon;die Monster ;0;defNP;defNP;NP;Secondary;Reintroduction
LL1794;NIO1761;STSTER;Children;Mon;Tim und Bello;0;EN | EN;Name;NP;Main;Maintenance
LL1795;NIO1762;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1796;NIO1763;STSTER;Children;Mon;Tim;0;EN;Name;NP;Main;Reintroduction
LL1797;NIO1764;STSTER;Children;Mon;[vor] ihm;0;PP;Pron;Pron;Main;Maintenance
LL1798;NIO1765;STSTER;Children;Mon;Max sein Freund;0;EN+defNP;Name;NP;Main;Reintroduction
LL1799;NIO1766;STSTER;Children;Mon;Max;0;EN;Name;NP;Main;Reintroduction
LL1800;NIO1767;STSTER;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1801;NIO1768;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1802;NIO1769;STSTER;Children;Mon;Tim, Bello und Max;0;EN | EN | EN;Name;NP;Main;Reintroduction
LL1803;NIO1770;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1804;NIO1771;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1805;NIO1772;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1806;NIO1773;STSTER;Children;Mon;Die Braune Person ;0;defNP;defNP;NP;Secondary;Reintroduction
LL1807;NIO1774;STSTER;Children;Mon;Tim und Max;0;EN | EN;Name;NP;Main;Reintroduction
LL1808;NIO1775;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Secondary;Reintroduction
LL1809;NIO1776;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1810;NIO1778;STSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1811;NIO1779;STSTER;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1812;NIO1780;STSTER;Children;Mon;die beinden gestallten;0;defNP;defNP;NP;Secondary;Reintroduction
LL1813;NIO1781;STSTER;Children;Mon;die dicke Figur;0;defNP;defNP;NP;Secondary;Reintroduction
LL1814;NIO1782;STSTER;Children;Mon;Tim ;0;EN;Name;NP;Main;Reintroduction
LL1815;NIO1783;STSTER;Children;Mon;er;0;PP;Pron;Pron;Main;Maintenance
LL1816;NIO1784;STTHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1817;NIO1785;STTHAR;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1818;NIO1786;STTHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1819;NIO1787;STTHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1820;NIO1788;STTHAR;Children;Mon;Das große Monster;0;defNP;defNP;NP;Secondary;Reintroduction
LL1821;NIO1789;STTHAR;Children;Mon;ihnen;0;PP;Pron;Pron;Main;Maintenance
LL1822;NIO1790;STTHAR;Children;Mon;Tim ;0;EN;Name;NP;Main;Reintroduction
LL1823;GL67;STTHAR;Children;Mon;Das Monster;0;defNP;defNP;NP;Secondary;Reintroduction
LL1824;NIO1791;STTHAR;Children;Mon;Sie;0;PP;Pron;Pron;Main;Reintroduction
LL1825;NIO1792;STTHAR;Children;Mon;es ;0;PP;Pron;Pron;Secondary;Reintroduction
LL1826;NIO1793;STTHAR;Children;Mon;das Monster;0;defNP;defNP;NP;Secondary;Maintenance
LL1827;NIO1794;STTHAR;Children;Mon;[auf] Max, Bello und Tim ;0;EN | EN | EN;Name;NP;Main;Reintroduction
LL1828;NIO1795;STTHAR;Children;Mon;die Kinder;0;defNP;defNP;NP;Main;Reintroduction
LL1829;NIO1796;STTHAR;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1830;NIO1797;STTHAR;Children;Mon;er ;0;PP;Pron;Pron;Secondary;Reintroduction
LL1831;NIO1798;STTHAR;Children;Mon;Ø;0;NSA;null;Pron;Main;Reintroduction
LL1832;NIO1799;SUMAER;Children;Mon;den Jungs;0;defNP;defNP;NP;Main;Maintenance
LL1833;NIO1800;SUMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1834;NIO1801;SUMAER;Children;Mon;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1835;NIO1802;SUMAER;Children;Mon;Brodo;0;EN;Name;NP;Secondary;Reintroduction
LL1836;NIO1803;SUMAER;Children;Mon;Ø;0;NSA;null;Pron;Secondary;Maintenance
LL1837;NIO1804;SUMAER;Children;Mon;[bei] den Jungs;0;defNP;defNP;NP;Main;Reintroduction
LL1838;NIO1805;SUMAER;Children;Mon;Er;0;PP;Pron;Pron;Secondary;Maintenance
LL1839;NIO1806;SUMAER;Children;Mon;Er;0;PP;Pron;Pron;Secondary;Maintenance
LL1840;NIO1807;SUMAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1841;NIO1808;SUPAER;Children;Mon;Die drei;0;defNP;defNP;NP;Main;Maintenance
LL1842;NIO1809;SUPAER;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1843;NIO1810;SUPAER;Children;Mon;Bello;0;EN;Name;NP;Main;Maintenance
LL1844;NIO1811;SUPAER;Children;Mon;die Freunde;0;defNP;defNP;NP;Main;Reintroduction
LL1845;NIO1812;SUPAER;Children;Mon;sie ;0;PP;Pron;Pron;Main;Maintenance
LL1846;NIO1813;SUPAER;Children;Mon;Die Freunde;0;defNP;defNP;NP;Main;Maintenance
LL1847;NIO1814;SUPAER;Children;Mon;sie ;0;PP;Pron;Pron;Main;Maintenance
LL1848;NIO1815;SUPAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1849;NIO1816;SUPAER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1850;NIO1817;SUSTER;Children;Mon;Er;0;PP;Pron;Pron;Main;Maintenance
LL1851;NIO1818;SUSTER;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1852;NIO1819;SUSTER;Children;Mon;die beiden;0;defNP;defNP;NP;Main;Reintroduction
LL1853;NIO1820;SUSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1854;NIO1821;SUSTER;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1855;NIO1822;SUSTER;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1856;NIO1823;SUSTER;Children;Mon;Tim;0;EN;Name;NP;Main;Reintroduction
LL1857;NIO1824;SUSTER;Children;Mon;er;0;PP;Pron;Pron;Main;Maintenance
LL1858;NIO1825;SYUWNI;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1859;NIO1826;SYUWNI;Children;Mon;Sie;0;PP;Pron;Pron;Main;Maintenance
LL1860;NIO1827;SYUWNI;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1861;NIO1828;SYUWNI;Children;Mon;Tim Max und Bello;0;EN | EN | EN;Name;NP;Main;Reintroduction
LL1862;NIO1829;SYUWNI;Children;Mon;die Gollumis;0;defNP;defNP;NP;Secondary;Reintroduction
LL1863;NIO1830;SYUWNI;Children;Mon;Max und Tim;0;EN | EN;Name;NP;Main;Reintroduction
LL1864;NIO1831;SYUWNI;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1865;NIO1832;SYUWNI;Children;Mon;er;0;PP;Pron;Pron;Main;Maintenance
LL1866;NIO1833;SYUWNI;Children;Mon;Tim und Max;0;EN | EN;Name;NP;Main;Reintroduction
LL1867;NIO1834;SYUWNI;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1868;NIO1835;SYUWNI;Children;Mon;Ø;0;NSA;null;Pron;Main;Maintenance
LL1869;NIO1836;SYUWNI;Children;Mon;ihn ;0;PP;Pron;Pron;Secondary;Reintroduction
LL1870;NIO1837;SYUWNI;Children;Mon;der grüne Gollum;0;defNP;defNP;NP;Secondary;Maintenance
LL1871;NIO1838;SYUWNI;Children;Mon;Ø;0;NSA;null;Pron;Secondary;Maintenance
LL1872;NIO1839;SYUWNI;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1873;NIO1840;SYUWNI;Children;Mon;Tim und Max;0;EN | EN;Name;NP;Main;Reintroduction
LL1874;NIO1841;SYUWNI;Children;Mon;Bello;0;EN;Name;NP;Main;Reintroduction
LL1875;NIO1842;THDIER;Children;Meh;die Jungs;0;defNP;defNP;NP;Main;Maintenance
LL1876;NIO1843;THDIER;Children;Meh;sie;0;PP;Pron;Pron;Main;Maintenance
LL1877;NIO1844;THDIER;Children;Meh;Tim;0;EN;Name;NP;Main;Reintroduction
LL1878;GL68;THDIER;Children;Meh;Max;0;EN;Name;NP;Main;Reintroduction
LL1879;GL69;THDIER;Children;Meh;Sie;0;Pron;Pron;Pron;Main;Reintroduction
LL1880;NIO1845;THDIER;Children;Meh;sie;0;PP;Pron;Pron;Main;Maintenance
LL1881;NIO1846;THDIER;Children;Meh;der Elf;0;defNP;defNP;NP;Secondary;Reintroduction
LL1882;GL70;THDIER;Children;Meh;Tim und sein Freund Max ;0;EN | defNP;Name+defNP;NP;Main;Reintroduction
LL1883;NIO1847;THDIER;Children;Meh;sie;0;PP;Pron;Pron;Secondary;Reintroduction
LL1884;NIO1848;THDIER;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1885;NIO1849;THDIER;Children;Meh;Der Hund;0;defNP;defNP;NP;Main;Reintroduction
LL1886;NIO1850;THDIER;Children;Meh;Ø;0;NSA;null;Pron;Main;Maintenance
LL1887;NIO1851;THDIER;Children;Meh;den Elf und den Älien;0;defNP | defNP;defNP;NP;Secondary;Reintroduction
LL1888;NIO1852;WEJONI;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1889;NIO1853;WEJONI;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1890;NIO1854;WEJONI;Children;Mon;Sie;0;PP;Pron;Pron;Main;Reintroduction
LL1891;NIO1855;WEJONI;Children;Mon;Tim;0;EN;Name;NP;Main;Reintroduction
LL1892;GL71;WEJONI;Children;Mon;Max;0;EN;Name;NP;Main;Reintroduction
LL1893;GL72;WEJONI;Children;Mon;se ;0;Pron;Pron;Pron;Main;Reintroduction
LL1894;NIO1856;WEJONI;Children;Mon;sie;0;PP;Pron;Pron;Main;Maintenance
LL1895;NIO1857;WEJONI;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
LL1896;NIO1858;WEJONI;Children;Mon;Tim;0;EN;Name;NP;Main;Reintroduction
LL1897;NIO1859;WEJONI;Children;Mon;sie;0;PP;Pron;Pron;Main;Reintroduction
